user_email,date_of_transaction,amount
ananthakrishnanb21@gmail.com,01-01-2023,100
user2@mail.com,02-01-2023,150
user3@mail.com,03-01-2023,1000
ananthakrishnanb21@gmail.com,04-01-2023,541
user2@mail.com,05-01-2023,515
user3@mail.com,06-01-2023,545
ananthakrishnanb21@gmail.com,07-01-2023,98
user2@mail.com,08-01-2023,232
user3@mail.com,09-01-2023,159
ananthakrishnanb21@gmail.com,10-01-2023,453
user2@mail.com,11-01-2023,12
user3@mail.com,12-01-2023,120
ananthakrishnanb21@gmail.com,13-01-2023,450
user2@mail.com,14-01-2023,780
user3@mail.com,15-01-2023,153
ananthakrishnanb21@gmail.com,16-01-2023,62
user2@mail.com,17-01-2023,80
user3@mail.com,18-01-2023,50
ananthakrishnanb21@gmail.com,19-01-2023,100
user2@mail.com,20-01-2023,456
user3@mail.com,21-01-2023,123
ananthakrishnanb21@gmail.com,22-01-2023,789
